fog_label,received_messages_counter,direct_messages_counter,redirect_messages_counter,lost_messages
0,0,0,0,0
1,1346,1346,0,0
2,1346,1346,0,0
3,1318,1318,0,0
4,1289,1289,0,0
5,1400,1400,0,0
