fog_label,received_messages_counter,direct_messages_counter,redirect_messages_counter,lost_messages
0,0,0,0,0
1,460,460,0,0
2,433,433,0,0
3,446,446,0,0
4,428,428,0,0
5,458,458,0,0
6,432,432,0,0
7,452,452,0,0
8,423,423,0,0
9,442,442,0,0
10,429,429,0,0
11,421,421,0,0
12,429,429,0,0
13,441,441,0,0
14,418,418,0,0
15,431,431,0,0
