fog_label,received_messages_counter,direct_messages_counter,redirect_messages_counter,lost_messages
0,0,0,0,0
1,646,646,0,0
2,667,667,0,0
3,652,652,0,0
4,671,671,0,0
5,676,676,0,0
6,696,696,0,0
7,650,650,0,0
8,638,638,0,0
9,718,718,0,0
10,658,658,0,0
