fog_label,received_messages_counter,direct_messages_counter,redirect_messages_counter,lost_messages
0,0,0,0,0
1,2051,439,1612,0
2,2210,410,1800,0
3,2113,455,1658,0
4,2057,407,1650,0
5,2065,437,1628,0
6,2044,440,1604,0
7,2037,427,1610,0
8,2068,457,1611,0
9,2018,405,1613,0
10,2198,450,1748,0
11,2075,438,1637,0
12,2034,418,1616,0
13,2077,458,1619,0
14,2252,452,1800,0
15,2092,442,1650,0
